unixtime,mouseX,mouseY,collision,mode,birdX,birdY
201710111757321820,0,0,0,mode0
201710111757321875,0,0,0,mode0
201710111757321900,0,0,0,mode0
201710111757321936,0,0,0,mode0
201710111757321972,0,0,0,mode0
201710111757322008,0,0,0,mode0
201710111757322041,0,0,0,mode0
201710111757322095,0,0,0,mode0
201710111757322136,0,0,0,mode0
201710111757322173,0,0,0,mode0
201710111757332241,0,0,0,mode0
201710111757332282,0,0,0,mode0
201710111757332337,0,0,0,mode0
201710111757332386,0,0,0,mode0
201710111757332427,0,0,0,mode0
201710111757332501,0,0,0,mode0
201710111757332540,0,0,0,mode0
201710111757332582,0,0,0,mode0
201710111757332636,0,0,0,mode0
201710111757332678,0,0,0,mode0
201710111757332756,543,144,0,mode0
201710111757332795,543,144,0,mode0
201710111757332831,543,144,0,mode0
201710111757332890,158,39,0,sin_mode,0,675
201710111757332927,158,39,0,sin_mode,0,675
201710111757332985,122,92,0,sin_mode,0,675
201710111757333029,122,92,0,sin_mode,0,675
201710111757333066,122,92,0,sin_mode,0,675
201710111757333122,122,92,0,sin_mode,0,675
201710111757333161,122,92,0,sin_mode,0,675
201710111757333209,122,92,0,sin_mode,0,675
201710111757343275,122,92,0,sin_mode,0,675
201710111757343322,319,156,0,sin_mode,0,675
201710111757343363,319,156,0,sin_mode,0,675
201710111757343403,319,156,0,sin_mode,0,675
201710111757343442,319,156,0,sin_mode,0,675
201710111757343484,281,160,0,sin_mode,0,675
201710111757343522,281,160,0,sin_mode,0,675
201710111757343558,281,160,0,sin_mode,0,675
201710111757343602,269,158,0,sin_mode,0,675
201710111757343639,269,158,0,sin_mode,0,675
201710111757343685,995,188,0,sin_mode,0,675
201710111757343723,995,188,0,sin_mode,0,675
201710111757343763,971,165,0,sin_mode,0,675
201710111757343801,516,223,0,sin_mode,0,675
201710111757343843,475,248,0,sin_mode,0,675
201710111757343880,475,248,0,sin_mode,0,675
201710111757343922,475,248,0,sin_mode,0,675
201710111757343961,448,252,0,sin_mode,0,675
201710111757343999,290,235,0,sin_mode,0,675
201710111757344043,290,235,0,sin_mode,0,675
201710111757344079,594,258,0,sin_mode,0,675
201710111757344121,594,258,0,sin_mode,0,675
201710111757344158,594,258,0,sin_mode,0,675
201710111757344197,561,223,0,sin_mode,0,675
201710111757354240,561,223,0,sin_mode,0,675
201710111757354279,561,223,0,sin_mode,0,675
201710111757354328,590,211,0,sin_mode,0,675
201710111757354357,482,196,0,sin_mode,0,675
201710111757354385,325,268,0,sin_mode,0,675
201710111757354419,423,253,0,sin_mode,0,675
201710111757354453,397,216,0,sin_mode,0,675
201710111757354483,394,215,0,sin_mode,0,675
201710111757354513,380,211,0,sin_mode,0,675
201710111757354547,375,212,0,sin_mode,0,675
201710111757354583,375,227,0,sin_mode,0,675
201710111757354615,375,227,0,sin_mode,0,675
201710111757354641,356,228,0,sin_mode,0,675
201710111757354668,356,228,0,sin_mode,0,675
201710111757354690,356,228,0,sin_mode,0,675
201710111757354727,361,235,0,sin_mode,0,675
201710111757354752,359,239,0,sin_mode,0,675
201710111757354779,356,245,0,sin_mode,0,675
201710111757354813,359,245,0,sin_mode,0,675
201710111757354848,355,242,0,sin_mode,0,675
201710111757354875,364,239,0,sin_mode,0,675
201710111757354902,364,239,0,sin_mode,0,675
201710111757354936,364,239,0,sin_mode,0,675
201710111757354964,364,239,0,sin_mode,0,675
201710111757355005,364,239,0,sin_mode,0,675
201710111757355043,364,239,0,sin_mode,0,675
201710111757355085,364,239,0,sin_mode,0,675
201710111757355132,364,239,0,sin_mode,0,675
201710111757355169,364,239,0,sin_mode,0,675
201710111757355207,364,239,0,sin_mode,0,675
201710111757365244,364,239,0,sin_mode,0,675
201710111757365280,364,239,0,sin_mode,0,675
201710111757365328,364,239,0,sin_mode,0,675
201710111757365365,364,239,0,sin_mode,0,675
201710111757365406,364,239,0,sin_mode,0,675
201710111757365443,364,239,0,sin_mode,0,675
201710111757365480,364,239,0,sin_mode,0,675
201710111757365520,364,239,0,sin_mode,0,675
201710111757365558,364,239,0,sin_mode,0,675
201710111757365595,364,239,0,sin_mode,0,675
201710111757365639,364,239,0,sin_mode,0,675
201710111757365675,364,239,0,sin_mode,0,675
201710111757365713,364,239,0,sin_mode,0,675
201710111757365754,364,239,0,sin_mode,0,675
201710111757365790,364,239,0,sin_mode,0,675
201710111757365832,364,239,0,sin_mode,0,675
201710111757365872,364,239,0,sin_mode,0,675
201710111757365908,364,239,0,sin_mode,0,675
201710111757365956,364,239,0,sin_mode,0,675
201710111757365996,364,239,0,sin_mode,0,675
201710111757366033,364,239,0,sin_mode,0,675
201710111757366074,364,239,0,sin_mode,0,675
201710111757366111,364,239,0,sin_mode,0,675
201710111757366151,364,239,0,sin_mode,0,675
201710111757366189,364,239,0,sin_mode,0,675
201710111757366227,364,239,0,sin_mode,0,675
201710111757376267,364,239,0,sin_mode,0,675
201710111757376303,364,239,0,sin_mode,0,675
201710111757376341,364,239,0,sin_mode,0,675
201710111757376384,364,239,0,sin_mode,0,675
201710111757376426,364,239,0,sin_mode,0,675
201710111757376465,364,239,0,sin_mode,0,675
201710111757376505,364,239,0,sin_mode,0,675
201710111757376541,364,239,0,sin_mode,0,675
201710111757376583,364,239,0,sin_mode,0,675
201710111757376624,364,239,0,sin_mode,0,675
201710111757376665,364,239,0,sin_mode,0,675
201710111757376709,364,239,0,sin_mode,0,675
201710111757376746,364,239,0,sin_mode,0,675
201710111757376792,364,239,0,sin_mode,0,675
201710111757376829,364,239,0,sin_mode,0,675
201710111757376870,364,239,0,sin_mode,0,675
201710111757376915,364,239,0,sin_mode,0,675
201710111757376952,364,239,0,sin_mode,0,675
201710111757376989,364,239,0,sin_mode,0,675
201710111757377031,364,239,0,sin_mode,0,675
201710111757377064,364,239,0,sin_mode,0,675
201710111757377104,364,239,0,sin_mode,0,675
201710111757377144,364,239,0,sin_mode,0,675
201710111757377180,364,239,0,sin_mode,0,675
201710111757377219,364,239,0,sin_mode,0,675
201710111757387253,364,239,0,sin_mode,0,675
201710111757387289,364,239,0,sin_mode,0,675
201710111757387332,364,239,0,sin_mode,0,675
201710111757387369,364,239,0,sin_mode,0,675
201710111757387413,364,239,0,sin_mode,0,675
201710111757387450,364,239,0,sin_mode,0,675
201710111757387489,88,94,0,sin_mode,0,675
201710111757387520,79,136,0,sin_mode,0,675
201710111757387549,68,183,0,sin_mode,0,675
201710111757387581,68,183,0,sin_mode,0,675
201710111757387622,68,183,0,sin_mode,0,675
201710111757387659,68,183,0,sin_mode,0,675
201710111757387700,68,183,0,sin_mode,0,675
201710111757387740,68,183,0,sin_mode,0,675
201710111757387779,68,183,0,sin_mode,0,675
201710111757387820,68,183,0,sin_mode,0,675
201710111757387868,68,183,0,sin_mode,0,675
201710111757387906,68,183,0,sin_mode,0,675
